station,daily_avg,annual_avg
Times Sq-42 St ,145157,52982459
Grand Central-42 St ,78344,28595578
34 St-Herald Sq ,68956,25169080
14 St-Union Sq ,58833,21473957
Fulton St ,48799,17811622
34 St-Penn Station ,45506,16609585
34 St-Penn Station ,44539,16256758
59 St-Columbus Circle ,42274,15430155
Chambers St ,35305,12886304
74-Broadway ,35265,12871648
