Average Weekend (Saturday + Sunday) Subway Ridership,,,,,,,,,,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2018,2019,2020,2021,2022,2023,2022-2023 Change,,2023 Rank,,,,,,,,,
Beach 36 St (A),,Q,900,907,514,547,476,494,18,3.7%,415,,,,,,,,,
Beach 44 St (A),,Q,730,682,371,382,361,409,48,13.2%,419,,,,,,,,,
Beach 60 St (A),,Q,"2,141","2,030","1,132","1,151","1,013","1,050",37,3.7%,408,,,,,,,,,
Beach 67 St-Arverne By The Sea (A),,Q,"2,447","2,602","1,470","1,608","1,536","1,729",193,12.6%,395,,,,,,,,,
"Beach 90 St (A,S)",,Q,"1,780","1,929",683,751,"1,024",919,-105,-10.3%,418,,,,,,,,,
"Beach 98 St (A,S)",,Q,566,747,268,294,378,405,27,7.1%,421,,,,,,,,,
"Briarwood-Van Wyck Blvd (E,F)",,Q,"3,893","4,325","1,850","2,417","2,966","3,153",187,6.3%,282,,,,,,,,,
"Broad Channel (A,S)",,Q,178,192,89,111,109,123,14,12.7%,422,,,,,,,,,
"Broadway (N,W)",47,Q,"5,190","8,026","5,575","7,403","8,844","10,393","1,549",17.5%,118,,,,,,,,,
"Court Sq (E,G,M,7)",,Q,"20,649","19,074","6,521","10,296","15,364","19,041","3,677",23.9%,47,,,,,,,,,
"Elmhurst Av (M,R)",,Q,"13,269","13,089","5,570","6,738","7,832","9,116","1,284",16.4%,120,,,,,,,,,
Far Rockaway-Mott Av (A),,Q,"4,501","4,172","2,268","2,265","2,063","2,473",410,19.9%,318,,,,,,,,,
Flushing-Main St (7),,Q,"66,311","57,623","20,498","36,291","45,629","53,183","7,554",16.6%,10,,,,,,,,,
Forest Av (M),,Q,"2,428","4,253","1,871","1,850","2,226","2,505",279,12.5%,296,,,,,,,,,
"Forest Hills-71 Av (E,F,M,R)",,Q,"24,710","23,714","9,323","12,200","15,160","18,047","2,887",19.0%,42,,,,,,,,,
Fresh Pond Rd (M),,Q,"3,661","5,104","2,491","2,644","2,946","3,107",161,5.5%,247,,,,,,,,,
"Grand Av-Newtown (M,R)",,Q,"18,477","18,516","7,621","9,469","11,062","12,357","1,295",11.7%,71,,,,,,,,,
Howard Beach-JFK Airport (A),,Q,"5,348","5,110","1,443","2,196","3,378","3,644",266,7.9%,342,,,,,,,,,
Hunters Point Av (7),,Q,"1,782","1,765",763,814,"1,228","1,252",24,2.0%,264,,,,,,,,,
"Jamaica Center-Parsons-Archer (E,J,Z)",,Q,"26,010","22,790","11,860","13,670","13,210","13,750",540,4.1%,33,,,,,,,,,
Jamaica-179 St (F),,Q,"14,885","15,169","7,047","8,373","9,561","10,490",929,9.7%,67,,,,,,,,,
Jamaica-Van Wyck (E),,Q,"5,544","4,540","2,334","2,653","2,698","3,375",677,25.1%,288,,,,,,,,,
Junction Blvd (7),,Q,"28,045","27,550","14,581","18,956","21,718","28,280","6,562",30.2%,31,,,,,,,,,
"Kew Gardens-Union Turnpike (E,F)",,Q,"21,768","22,198","8,464","10,312","12,284","14,752","2,468",20.1%,49,,,,,,,,,
Mets-Willets Point (7),,Q,"10,624","14,041","1,392","6,718","9,033","11,949","2,916",32.3%,220,,,,,,,,,
Middle Village-Metropolitan Av (M),,Q,"2,469","2,617","1,393","1,585","1,659","1,758",99,6.0%,321,,,,,,,,,
"Northern Blvd (M,R)",,Q,"6,240","5,677","2,648","3,090","3,697","4,097",400,10.8%,217,,,,,,,,,
Ozone Park-Lefferts Blvd (A),,Q,"6,688","5,907","2,707","3,135","3,412","3,377",-35,-1.0%,228,,,,,,,,,
Parsons Blvd (F),,Q,"6,593","7,207","3,577","3,968","4,530","5,750","1,220",26.9%,201,,,,,,,,,
"Queens Plaza (E,M,R)",,Q,"11,905","12,799","3,990","5,879","8,481","12,829","4,348",51.3%,83,,,,,,,,,
"Queensboro Plaza (N,W,7)",,Q,"25,672","24,586","7,339","10,198","13,905","15,649","1,744",12.5%,92,,,,,,,,,
Rockaway Blvd (A),,Q,"7,694","7,393","3,272","3,966","4,865","4,629",-236,-4.8%,203,,,,,,,,,
"Rockaway Park-Beach 116 St (A,S)",,Q,"1,094","1,047",514,457,576,540,-36,-6.3%,420,,,,,,,,,
Seneca Av (M),,Q,"1,899","4,858","1,835","1,294","1,562","1,933",371,23.8%,358,,,,,,,,,
"Steinway St. (M,R)",,Q,"20,427","18,461","6,287","7,404","9,770","10,380",610,6.2%,121,,,,,,,,,
Sutphin Blvd (F),,Q,"3,885","4,467","2,185","2,434","2,766","2,977",211,7.6%,316,,,,,,,,,
"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",,Q,"24,020","22,958","10,010","13,243","16,521","19,819","3,298",20.0%,35,,,,,,,,,
Vernon Blvd-Jackson Av (7),,Q,"11,858","14,033","5,573","7,295","11,621","12,179",558,4.8%,81,,,,,,,,,
"Woodhaven Blvd (J,Z)",48,Q,"2,820","3,032","2,292","2,323","2,367","1,136","-1,231",-52.0%,361,,,,,,,,,
"Woodhaven Blvd (M,R)",,Q,"22,672","21,965","8,876","11,853","13,013","14,303","1,290",9.9%,66,,,,,,,,,
Woodside-61 St (7),,Q,"19,796","20,097","9,069","11,970","14,664","15,717","1,053",7.2%,68,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Brooklyn,,,"1,240,162","1,236,451","531,604","697,891","840,002","962,390","122,388",14.6%,,,,,,,,,,
Bronx,,,"446,132","443,741","219,781","248,806","257,009","259,473","2,464",1.0%,,,,,,,,,,
Manhattan,,,"2,988,482","3,045,943","1,046,757","1,501,980","2,074,571","2,422,471","347,900",16.8%,,,,,,,,,,
Queens,,,"764,327","768,060","337,170","439,943","531,903","592,961","61,058",11.5%,,,,,,,,,,
Systemwide Adjustment,,,-156,,,,,,0,,,,,,,,,,,
System Total,,,"5,438,947","5,494,195","2,135,312","2,888,620","3,703,485","4,237,295","533,810",14.4%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"* MTA New York City Transit Temporary Station Closings, 2018-2023",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
