Average Weekend (Saturday + Sunday) Subway Ridership,,,,,,,,,,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2018,2019,2020,2021,2022,2023,2022-2023 Change,,2023 Rank,,,,,,,,,
Roosevelt Island (F),,M,"8,135","8,651","3,307","5,504","7,821","7,273",-548,-7.0%,197,,,,,,,,,
"South Ferry (1)/Whitehall St (R,W)",,M,"30,605","29,278","9,070","14,669","19,271","22,231","2,960",15.4%,36,,,,,,,,,
Spring St (6),,M,"16,649","16,680","5,039","9,151","14,066","16,137","2,071",14.7%,133,,,,,,,,,
"Spring St (C,E)",,M,"9,871","12,373","4,149","7,387","8,701","9,434",733,8.4%,105,,,,,,,,,
"Times Sq-42 St (N,Q,R,S,W,1,2,3,7)/42 St (A,C,E)/Bryant Pk (B,D,F,M)/5 Av (7)",,M,"274,166","277,370","83,913","116,789","176,931","213,708","36,777",20.8%,1,,,13958.2987,,,,,,
"Wall St (2,3)",,M,"6,662","11,911","4,576","6,612","8,964","10,788","1,824",20.4%,76,,,,,,,,,
"Wall St (4,5)",,M,"11,423","11,694","3,196","4,914","7,965","10,252","2,287",28.7%,84,,,,,,,,,
"West 4 St-Washington Sq (A,B,C,D,E,F,M)",,M,"57,400","62,905","20,285","29,716","39,222","48,747","9,525",24.3%,20,,,,,,,,,
WTC Cortlandt (1),35,M,"6,274","12,688","3,474","5,778","9,671","13,879","4,208",43.5%,98,,,,,,,,,
Queens,,,,,,,,,,,,,,,,,,,,
103 St-Corona Plaza (7),,Q,"23,972","24,171","12,264","16,313","18,309","21,855","3,546",19.4%,28,,,,,,,,,
104 St (A),,Q,"1,470","1,328",615,758,882,906,24,2.8%,405,,,,,,,,,
"104 St (J,Z)",36,Q,951,"1,489","1,149","1,246","1,269","1,064",-205,-16.1%,356,,,,,,,,,
111 St (7),37,Q,"14,376","17,826","11,090","9,766","11,037","8,881","-2,156",-19.5%,164,,,,,,,,,
111 St (A),,Q,"1,872","1,705",801,994,"1,120","1,144",24,2.1%,389,,,,,,,,,
111 St (J),38,Q,"1,523",950,987,"1,104","1,089",816,-273,-25.1%,388,,,,,,,,,
"121 St (J,Z)",39,Q,849,"1,462","1,047","1,172","1,291",984,-307,-23.8%,384,,,,,,,,,
169 St (F),,Q,"7,944","7,845","3,507","4,357","4,884","5,139",255,5.2%,190,,,,,,,,,
21 St (G),,Q,"1,850","2,021",860,"1,369","1,323","1,905",582,44.0%,403,,,,,,,,,
21 St-Queensbridge (F),40,Q,"10,606","12,301","4,236","5,460","8,432","5,661","-2,771",-32.9%,200,,,,,,,,,
"30 Av (N,W)",41,Q,"4,773","12,171","6,204","7,445","9,093","10,568","1,475",16.2%,103,,,,,,,,,
33 St-Rawson St (7),,Q,"4,223","4,067","1,447","1,792","2,534","2,668",134,5.3%,167,,,,,,,,,
"36 Av (N,W)",42,Q,"2,811","4,541","2,955","3,583","4,420","5,285",865,19.6%,214,,,,,,,,,
"36 St (M,R)",,Q,"3,615","3,378","1,024","1,157","1,897","1,954",57,3.0%,331,,,,,,,,,
"39 Av (N,W)",,Q,"1,218","1,992","1,226","1,485","2,102","2,831",729,34.7%,335,,,,,,,,,
40 St-Lowery St (7),,Q,"9,434","9,550","4,073","5,514","7,075","7,283",208,2.9%,147,,,,,,,,,
"46 St (M,R)",,Q,"8,893","8,007","3,440","4,061","5,230","5,640",410,7.8%,189,,,,,,,,,
46 St-Bliss St (7),,Q,"14,549","14,372","6,506","8,395","10,155","10,573",418,4.1%,109,,,,,,,,,
52 St (7),,Q,"6,524","6,578","3,039","4,042","4,911","4,990",79,1.6%,225,,,,,,,,,
"63 Dr-Rego Park (M,R)",,Q,"14,831","14,522","6,094","7,855","8,838","9,563",725,8.2%,101,,,,,,,,,
"65 St (M,R)",,Q,"3,890","3,571","1,570","1,806","2,111","2,432",321,15.2%,348,,,,,,,,,
"67 Av (M,R)",,Q,"6,615","6,997","2,844","3,282","3,936","4,607",671,17.0%,181,,,,,,,,,
69 St (7),,Q,"5,844","6,166","2,979","4,163","5,238","5,338",100,1.9%,229,,,,,,,,,
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",,Q,"69,953","69,584","30,324","39,784","48,075","59,507","11,432",23.8%,9,,,,,,,,,
"75 Av (E,F)",,Q,"2,587","2,857","1,097","1,578","1,881","2,201",320,17.0%,352,,,,,,,,,
"75 St-Elderts Ln (J,Z)",44,Q,"1,995","2,199","1,661","1,724","1,725",789,-936,-54.2%,399,,,,,,,,,
80 St (A),,Q,"4,285","3,843","1,664","2,257","2,657","2,659",2,0.1%,310,,,,,,,,,
82 St-Jackson Hts (7),45,Q,"18,651","19,415","9,104","13,188","15,065","10,975","-4,090",-27.2%,130,,,,,,,,,
85 St-Forest Pkwy (J),,Q,"2,193","2,338","1,808","1,845","1,863","1,573",-290,-15.6%,311,,,,,,,,,
88 St (A),,Q,"2,462","2,280","1,059","1,324","1,499","1,551",52,3.5%,361,,,,,,,,,
90 St-Elmhurst Av (7),,Q,"20,287","20,210","10,178","13,340","15,093","17,089","1,996",13.2%,64,,,,,,,,,
Aqueduct Racetrack (A),,Q,"4,521","3,529",976,"1,357","1,086","1,088",2,0.2%,417,,,,,,,,,
Aqueduct-North Conduit Av (A),,Q,764,658,276,345,324,376,52,16.2%,416,,,,,,,,,
"Astoria Blvd (N,W)",46,Q,"10,175","1,905","3,722","6,324","8,312","8,036",-276,-3.3%,142,,,,,,,,,
"Astoria-Ditmars Blvd (N,W)",,Q,"10,218","13,105","6,752","8,476","10,538","10,796",258,2.4%,97,,,,,,,,,
"Beach 105 St (A,S)",,Q,434,442,208,210,304,325,21,7.0%,423,,,,,,,,,
Beach 25 St (A),,Q,"1,600","1,434",818,870,795,840,45,5.7%,411,,,,,,,,,
