station_complex_grouped,ridership,year,num_services,annual_ridership
Broadway,128739.0,5,2,25747.8
Broadway Junction,61944.0,5,5,12388.8
Broadway-Lafayette St,287235.0,5,4,57447.0
Bronx Park East,16297.0,5,2,3259.4
Brook Av,40498.0,5,1,8099.6
Brooklyn Bridge-City Hall,171743.0,5,4,34348.6
Bryant Pk,385357.0,5,4,77071.4
Buhre Av,26850.0,5,1,5370.0
Burke Av,19040.0,5,2,3808.0
Burnside Av,71223.0,5,1,14244.6
Bushwick Av-Aberdeen St,20309.0,5,1,4061.8
Canal St,526603.0,5,7,105320.6
Canarsie-Rockaway Pkwy,32159.0,5,1,6431.8
Carroll St,87933.0,5,2,17586.6
Castle Hill Av,43228.0,5,1,8645.6
Cathedral Pkwy,152390.0,5,1,30478.0
Central Av,30166.0,5,1,6033.2
Central Park North,57053.0,5,2,11410.6
Chambers St,503122.0,5,4,100624.4
Chauncey St,20531.0,5,2,4106.2
Christopher St-Sheridan Sq,79658.0,5,1,15931.6
Church Av,264500.0,5,2,52900.0
City Hall,34666.0,5,2,6933.2
Clark St,44965.0,5,2,8993.0
Classon Av,41936.0,5,1,8387.2
Cleveland St,17056.0,5,1,3411.2
Clinton-Washington Avs,91097.0,5,1,18219.4
Coney Island-Stillwell Av,115259.0,5,4,23051.8
Cortelyou Rd,47579.0,5,1,9515.8
Court Sq,164412.0,5,4,32882.4
Court St,204751.0,5,4,40950.2
Crescent St,27415.0,5,2,5483.0
Crown Hts-Utica Av,188250.0,5,2,37650.0
Cypress Av,18679.0,5,1,3735.8
Cypress Hills,9709.0,5,1,1941.8
DeKalb Av,252166.0,5,1,50433.2
Delancey St,238531.0,5,3,47706.2
Ditmas Av,27034.0,5,1,5406.8
Dyckman St,101499.0,5,1,20299.8
E 143 St-St Mary's St,8776.0,5,1,1755.2
E 149 St,32960.0,5,1,6592.0
E 180 St,55409.0,5,2,11081.8
East 105 St,20666.0,5,1,4133.2
East Broadway,106046.0,5,1,21209.2
Eastchester-Dyre Av,27266.0,5,1,5453.2
Eastern Pkwy-Brooklyn Museum,33442.0,5,2,6688.4
