Average Weekday Subway Ridership,,,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2018,2019,2020,2021,2022,2023,2022-2023 Change,,2023 Rank,,
90 St-Elmhurst Av (7),,Q,"16,253","16,365","8,217","10,099","11,649","13,918","2,269",19.5%,64,,
Aqueduct Racetrack (A),,Q,"1,901","1,594",448,629,551,557,6,1.1%,417,,
Aqueduct-North Conduit Av (A),,Q,921,893,359,419,488,558,70,14.3%,416,,
"Astoria Blvd (N,W)",46,Q,"14,425","2,410","3,324","4,876","6,807","7,526",719,10.6%,142,,
"Astoria-Ditmars Blvd (N,W)",,Q,"15,663","17,912","6,363","7,165","9,544","10,425",881,9.2%,97,,
"Beach 105 St (A,S)",,Q,261,243,103,114,155,172,17,11.3%,423,,
Beach 25 St (A),,Q,"1,792","1,720",832,865,"1,062","1,071",9,0.9%,411,,
Beach 36 St (A),,Q,887,951,472,494,581,563,-18,-3.1%,415,,
Beach 44 St (A),,Q,693,699,347,354,423,462,39,9.2%,419,,
Beach 60 St (A),,Q,"2,013","2,008",980,978,"1,150","1,170",20,1.8%,408,,
Beach 67 St-Arverne By The Sea (A),,Q,"2,103","2,252","1,116","1,159","1,373","1,486",113,8.2%,395,,
"Beach 90 St (A,S)",,Q,"1,097",946,358,418,449,472,23,5.1%,418,,
"Beach 98 St (A,S)",,Q,481,478,189,218,282,293,11,3.9%,421,,
"Briarwood-Van Wyck Blvd (E,F)",,Q,"4,913","4,970","2,054","2,401","3,168","3,443",275,8.7%,282,,
"Broad Channel (A,S)",,Q,285,313,121,133,171,179,8,4.8%,422,,
"Broadway (N,W)",47,Q,"8,473","10,195","4,530","5,541","7,405","8,653","1,248",16.9%,118,,
"Court Sq (E,G,M,7)",,Q,"23,995","23,600","7,877","8,941","14,127","17,116","2,989",21.2%,47,,
"Elmhurst Av (M,R)",,Q,"12,463","12,362","5,460","6,584","7,918","8,563",645,8.1%,120,,
Far Rockaway-Mott Av (A),,Q,"4,435","4,388","2,280","2,321","2,594","2,817",223,8.6%,318,,
Flushing-Main St (7),,Q,"55,669","56,503","22,786","28,348","36,231","43,226","6,995",19.3%,10,,
Forest Av (M),,Q,"3,124","4,235","1,980","2,314","2,911","3,108",197,6.8%,296,,
"Forest Hills-71 Av (E,F,M,R)",,Q,"26,613","26,477","10,122","11,786","15,607","17,846","2,239",14.3%,42,,
Fresh Pond Rd (M),,Q,"4,716","5,882","2,753","3,119","3,822","4,047",225,5.9%,247,,
"Grand Av-Newtown (M,R)",,Q,"18,489","18,531","7,715","9,485","11,715","12,662",947,8.1%,71,,
Howard Beach-JFK Airport (A),,Q,"3,376","3,483",956,"1,317","2,268","2,455",187,8.3%,342,,
Hunters Point Av (7),,Q,"7,205","7,039","2,596","2,587","3,807","3,810",3,0.1%,264,,
"Jamaica Center-Parsons-Archer (E,J,Z)",,Q,"36,368","34,419","14,183","15,806","17,748","19,529","1,781",10.0%,33,,
Jamaica-179 St (F),,Q,"21,452","21,353","9,202","10,093","12,573","13,279",706,5.6%,67,,
Jamaica-Van Wyck (E),,Q,"4,717","4,561","2,663","2,490","2,979","3,260",281,9.4%,288,,
Junction Blvd (7),,Q,"21,100","21,149","11,044","14,238","17,027","20,384","3,357",19.7%,31,,
"Kew Gardens-Union Turnpike (E,F)",,Q,"25,536","25,235","10,123","11,588","14,849","16,603","1,754",11.8%,49,,
Mets-Willets Point (7),,Q,"4,606","4,973",922,"2,611","3,677","4,514",837,22.8%,220,,
Middle Village-Metropolitan Av (M),,Q,"3,225","3,726","1,713","2,070","2,592","2,774",182,7.0%,321,,
"Northern Blvd (M,R)",,Q,"6,904","6,682","2,956","3,530","4,192","4,631",439,10.5%,217,,
Ozone Park-Lefferts Blvd (A),,Q,"7,591","7,434","3,397","3,557","4,228","4,330",102,2.4%,228,,
Parsons Blvd (F),,Q,"6,462","6,654","3,498","3,604","4,439","5,008",569,12.8%,201,,
"Queens Plaza (E,M,R)",,Q,"12,747","14,298","4,709","5,400","8,662","11,616","2,954",34.1%,83,,
"Queensboro Plaza (N,W,7)",,Q,"14,517","14,533","5,435","6,573","9,279","10,698","1,419",15.3%,92,,
Rockaway Blvd (A),,Q,"7,534","7,450","3,365","3,855","4,693","4,983",290,6.2%,203,,
"Rockaway Park-Beach 116 St (A,S)",,Q,696,660,319,326,387,400,13,3.5%,420,,
Seneca Av (M),,Q,"1,818","3,210","1,460","1,555","1,757","2,023",266,15.1%,358,,
"Steinway St. (M,R)",,Q,"15,590","14,640","5,564","6,711","8,254","8,528",274,3.3%,121,,
Sutphin Blvd (F),,Q,"4,291","4,328","2,277","2,257","2,688","2,834",146,5.4%,316,,
"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",,Q,"23,388","23,891","9,357","12,053","15,164","19,068","3,904",25.7%,35,,
Vernon Blvd-Jackson Av (7),,Q,"15,093","15,151","5,711","7,024","9,749","11,662","1,913",19.6%,81,,
"Woodhaven Blvd (J,Z)",48,Q,"4,771","4,607","2,171","2,463","2,790","1,935",-855,-30.7%,361,,
"Woodhaven Blvd (M,R)",,Q,"20,704","20,340","8,389","10,429","12,536","13,596","1,060",8.5%,66,,
Woodside-61 St (7),,Q,"16,501","16,684","7,400","9,365","12,061","13,225","1,164",9.7%,68,,
,,,,,,,,,,,,,
Brooklyn,,,"1,188,606","1,190,461","484,848","572,372","733,800","817,553","83,753",11.4%,,,
Bronx,,,"451,214","448,301","209,435","233,291","263,306","268,131","4,825",1.8%,,,
Manhattan,,,"3,042,005","3,092,234","1,025,104","1,179,265","1,704,951","1,994,097","289,146",17.0%,,,
Queens,,,"755,778","762,880","321,193","384,727","487,847","545,545","57,698",11.8%,,,
Systemwide Adjustment,,,366,-17,,,,,0,,,,
