Year,B,Bx,M,Q
2018,370231302,139238932,936516980,234085767
2019,370545959,138381037,952710327,236149679
2020,153292739,65662311,319882177,100703802
2021,183587543,72920734,381549651,121918793
2022,232489655,81067948,546640695,153227167
2023,260211533,82306692,638450910,171029023
